#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
258,"
Bryonopsis laciniosa (L.) Naud.
",CUCURBITACEAE,"Gorgu-naru, Mala (Beng.)",  
259,"
Bryophyllum pinnatum Lam.
",CRASSULACEAE,Zakhm-haiyat,  
260,"
Buchanania lanzan Spreng.
",ANACARDIACEAE,"Piyar, Chironji",  
261,"
Buddleja asiatica Lour.
",BUDDLEJACEAE,Neemda,  
262,"
Bunium persicum (Boiss.) Fedt.
",APIACEAE,"Siah-zirah, Kala-zirah",  
263,"
Butea monosperma (Lam.) Taub.
",FABACEAE,"Dhak, Palas (Beng.)",  
264,"
Butea parviflora Roxb.
",FABACEAE,"Maulo, Bando",  
265,"
Butea superba Roxb.
",FABACEAE,Palas lata,  
266,"
Buxus wallichiana Baill.
",BUXACEAE,"Chikri, Papri",  
267,"
Byttneria herbacea Roxb.
",STERCULIACEAE,Kambraj (Beng.),  
268,"
Cadaba fruticosa (L.) Druce
",CAPPARACEAE,Kodhab,  
269,"
Cadaba trifoliata (Roxb.) Wight & Arn.
",CAPPARACEAE,Balaya (Sans.),  
270,"
Caesalpinia bonduc (L.) Roxb.
",CAESALPINIACEAE,"Kantikaranjua, Kat-karanj",  
271,"
Caesalpinia coriaria (Jacq.) Willd.
",CAESALPINIACEAE,Dividivi (Tel.),  
272,"
Caesalpinia crista L.
",CAESALPINIACEAE,"Karanju, Katkaranj",  
273,"
Caesalpinia digyna Rottler
",CAESALPINIACEAE,Vakeri-mul,  
274,"
Caesalpinia pulcherrima (L.) Swartz
",CAESALPINIACEAE,Guletura,  
275,"
Caesalpinia sappan L.
",CAESALPINIACEAE,"Bakam, Patang",  
276,"
Cajanus cajan (L.) Millsp.
",FABACEAE,"Arhar, Tur",  
277,"
Calamus rotang L.
",ARECACEAE,Arichural (Malayalam),  
278,"
Calamus travancoricus Bedd. ex Becc.
",ARECACEAE,Kattuchooral (Malayalam),  
279,"
Calendula officinalis L.
",ASTERACEAE,Zergul (Punjab),  
280,"
Callicarpa arborea Roxb. ex C.B.Clarke
",VERBENACEAE,Khoja (Assam),  
281,"
Callicarpa longifolia Lam.
",VERBENACEAE,Dieng-soh-kait-lang (Khasi Hills),  
282,"
Callicarpa macrophylla Vahl
",VERBENACEAE,"Daya, Priyangu",  
283,"
Callicarpa tomentosa (L.) Murr.
",VERBENACEAE,Bastra,  
284,"
Calligonum polygonoides L.
",POLYGONACEAE,Phog,  
285,"
Callistemon lanceolatus DC.
",MYRTACEAE,Bottle Brush (Eng.),  
286,"
Calophyllum apetalum Willd.
",CLUSIACEAE,Bobbi (Mar.),  
287,"
Calophyllum inophyllum L.
",CLUSIACEAE,Sultanachampa,  
288,"
Calotropis gigantea (L.) W.T.Aiton
",ASCLEPIADACEAE,Ak,  
289,"
Calotropis procera (Aiton) W.T.Aiton
",ASCLEPIADACEAE,"Akada, Akavana",  
290,"
Caltha palustris L.
",RANUNCULACEAE,Mumiri (Punjab),  
291,"
Calycopteris floribunda (Roxb.) Lam.
",COMBRETACEAE,Kokaray,  
292,"
Camellia kissi Wall.
",THEACEAE,Kissi (Nepal),  
293,"
Camellia sinensis (L.) Kuntze
",THEACEAE,"Cha, Chai",  
294,"
Cananga odorata Hook.f. & Thoms.
",ANNONACEAE,Karumugai (Tam.),  
295,"
Canavalia gladiata (Jacq.) DC.
",FABACEAE,"Bara Sem, Sufed Kadsumbal",  
296,"
Canna indica L.
",CANNACEAE,"Sabbajaya, Sarvajjaya",  
297,"
Cannabis sativa L.
",CANNABACEAE,"Bhang, Ganja",  
298,"
Canscora decussata (Roxb.) Schult. & Schult.f.
",GENTIANACEAE,Sankhaphuli,  
299,"
Canscora diffusa (Vahl) R.Br. ex. Roem. & Schult.
",GENTIANACEAE,Kyoukpan (Burma),  
300,"
Canthium dicoccum (Gaertn.) Merr.
",RUBIACEAE,Arsul (Mar.),  
301,"
Capparis decidua (Forssk.) Edgew.
",CAPPARACEAE,"Kurrel, Karer",  
302,"
Capparis grandis L.f.
",CAPPARACEAE,Kauntel (Mar.),  
303,"
Capparis heyneana Wall. ex Wight
",CAPPARACEAE,Chaymka,  
304,"
Capparis sepiaria L.
",CAPPARACEAE,Kaliakara (Ben.),  
305,"
Capparis spinosa L.
",CAPPARACEAE,Kabra,  
306,"
Capparis zeylanica L.
",CAPPARACEAE,Ardanda,  
307,"
Capsella bursa-pastoris (L.) Medik.
",BRASSICACEAE,Shepherd's purse (Eng.),  
308,"
Capsicum annum L.
",SOLANACEAE,"Lalmirch, Gachmarich",  
309,"
Capsicum frutescens L.
",SOLANACEAE,Bird Chilli (Eng.),  
310,"
Carallia brachiata (Lour.) Merr.
",RHIZOPHORACEAE,Kierpa (Beng.),  
311,"
Carapa granatum (Koenig) Alston
",MELIACEAE,Pussur,  
