#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
942,"
Indigofera tinctoria L.
",FABACEAE,"Nil, Nilika",  
943,"
Indigofera trifoliata L.
",FABACEAE,Jangli-methi,  
944,"
Indigofera trita L.f.
",FABACEAE,Vekhario (Guj.),  
945,"
Inula graveolens Desf.
",ASTERACEAE,Stinkwort (Eng.),  
946,"
Inula recemosa Hook.f.
",ASTERACEAE,Poshkar (Kashmir),  
947,"
Ipomoea alba L.
",CONVOLVULACEAE,Dudhiakalmi,  
948,"
Ipomoea aquatica Forsk.
",CONVOLVULACEAE,"Kalmisag, Karmi",  
949,"
Ipomoea batatas (L.) Lam.
",CONVOLVULACEAE,Mitha alu,  
950,"
Ipomoea cairica (L.) Sweet
",CONVOLVULACEAE,Neeli Bel ,  
951,"
Ipomoea coptica (L.) Roth
",CONVOLVULACEAE,Ipomoea coptica (Tam.),  
952,"
Ipomoea dasysperma Jacq.
",CONVOLVULACEAE,Dipdavel (Guj),  
953,"
Ipomoea eriocarpa R.Br.
",CONVOLVULACEAE,Nakhari,  
954,"
Ipomoea hederifolia L.
",CONVOLVULACEAE,Lal pungli (Mar.),  
955,"
Ipomoea muricata (L.) Jacq.
",CONVOLVULACEAE,Michai,  
956,"
Ipomoea nil (L.) Roth.
",CONVOLVULACEAE,"Kaladana, Mirchai",  
957,"
Ipomoea obscura(L.) Ker-Gawl.
",CONVOLVULACEAE,Vachagandha,  
958,"
Ipomoea paniculata R.Br.
",CONVOLVULACEAE,Bilaikand,  
959,"
Ipomoea pes-caprae (L.) Roth
",CONVOLVULACEAE,Dopatilata,  
960,"
Ipomoea pes-tigridis L.
",CONVOLVULACEAE,"Panchpatri, Angulilata (Beng.)",  
961,"
Ipomoea purga Hayne
",CONVOLVULACEAE,Jalap,  
962,"
Ipomoea purpurea (L.) Roth.
",CONVOLVULACEAE,Morning Glory (Eng.),  
963,"
Ipomoea quamoclit L.
",CONVOLVULACEAE,Kamalata,  
964,"
Ipomoea sepiaria Roxb. ex Koen.
",CONVOLVULACEAE,Bankalmi,  
965,"
Ipomoea tuberosa L.
",CONVOLVULACEAE,Spanish Arbour-vine (Eng.),  
966,"
Ipomoea violacea L.
",CONVOLVULACEAE,Kinarwel (Mar.),  
967,"
Iris domestica (L.) Goldblatt & Mabb.
",IRIDACEAE,Leopard lily (Eng.),  
968,"
Ixora arborea Roxb. ex Sm.
",RUBIACEAE,"Kota-gandhal, Nevari",  
969,"
Ixora coccinea L.
",RUBIACEAE,"Rangan, Rookmini",  
970,"
Ixora nigricans R.Br. ex Wight & Arn.
",RUBIACEAE,Katkura (Mar.),  
971,"
Jasminum angustifolium Vahl.
",OLEACEAE,"Banmallica, Mwari",  
972,"
Jasminum arborescens Roxb.
",OLEACEAE,"Bela, Chameli",  
973,"
Jasminum azoricum L.
",OLEACEAE,Malati (Beng.),  
974,"
Jasminum grandiflorum L.
",OLEACEAE,"Chameli, Jati",  
975,"
Jasminum multiflorum (Burm.f.) Andrews
",OLEACEAE,"Chameli, Kunda",  
976,"
Jasminum officinale L.
",OLEACEAE,"Chameli, Jati",  
977,"
Jasminum ritchiei C.B.Clarke
",OLEACEAE,Karumullai (Tam.),  
978,"
Jasminum rottlerianum Wall. ex A.DC.
",OLEACEAE,Vanamalliga (Sans.),  
979,"
Jasminum sambac (L.) Aiton
",OLEACEAE,"Banmallika, Chamba",  
980,"
Jasminum scandens Vahl
",OLEACEAE,Hare lahara (Nepal),  
981,"
Jateorhiza palmata Miers
",MENISPERMACEAE,Kalamb-ki-jar,  
982,"
Jatropha curcas L.
",EUPHORBIACEAE,"Bagbherenda, Jangli-arandi",  
983,"
Jatropha glandulifera Roxb.
",EUPHORBIACEAE,"Janglie-randi, Undarbibi",  
984,"
Jatropha gossypifolia Roxb.
",EUPHORBIACEAE,"Bherenda, Verenda",  
985,"
Jatropha multifida L.
",EUPHORBIACEAE,Bhadradanti (Sans.),  
986,"
Jatropha nana Dalzell & A.Gibson
",EUPHORBIACEAE,Kirkundi (Mar.),  
987,"
Juglans regia L.
",JUGLANDACEAE,"Akhrot, Akrut (Trade)",  
988,"
Juncellus inundatus (Roxb.) C.B.Clarke
",CYPERACEAE,Pati,  
989,"
Juncus effusus L.
",JUNCACEAE,Matting Rush (Eng.),  
990,"
Juniperus communis L.
",CUPRESSACEAE,"Aaraar, Haubera",  
991,"
Juniperus polycarpus C.Koch
",CUPRESSACEAE,Dhup,  
992,"
Juniperus recurva Buch.-Ham. ex D.Don
",CUPRESSACEAE,Chukboo (Sikkim),  
993,"
Jurinea dolomiaea Boiss.
",ASTERACEAE,Dhoop Lakkad,  
994,"
Justicia adhatoda L.
",ACANTHACEAE,Arusha,  
995,"
Justicia betonica L.
",ACANTHACEAE,Tellarantu (Tel.),  
996,"
Justicia gendarussa Burm.f.
",ACANTHACEAE,"Udisanbhalu, Nilinargandi",  
997,"
Justicia procumbens L.
",ACANTHACEAE,Karambal (Mar.),  
998,"
Kaempferia rotunda L.
",ZINGIBERACEAE,Bhui-champa,  
999,"
Kalanchoe integra (Medik.) Kuntze
",CRASSULACEAE,"Haiza, Rungru",  
1000,"
Kalanchoe laciniata (L.) Pers.
",CRASSULACEAE,Hamsagar,  
1001,"
Kedrostis rostrata (Rottl.) Cogn.
",CUCURBITACEAE,Kukumadunda (Tel.),  
1002,"
Kendelia rheedii Wight & Arn.
",RHIZOPHORACEAE,Goria (Beng.),  
1003,"
Kickxia ramosissima (Wall.) Janch.
",SCROPHULARIACEAE,Bhintgalodi (Guj.),  
1004,"
Kigelia pinnata (Jacq.) DC.
",BIGNONIACEAE,Common Sausage Tree (Eng.),  
1005,"
Kingiodendron pinnatum (Roxb. ex DC.) Harms.
",CAESALPINIACEAE,Madayan samprani (Tam.),  
1006,"
Kirganelia reticulata (Poir.) Baill.
",EUPHORBIACEAE,"Panjuli, Makhi",  
1007,"
Kleinhovia hospita L.
",STERCULIACEAE,Bola (Beng.),  
1008,"
Knema angustifolia (Roxb.) Warb.
",MYRISTICACEAE,Mota-pasuti (Assam),  
1009,"
Kochia indica Wight
",CHENOPODIACEAE,Kaura-ro (Punjab),  
1010,"
Kochia scoparia (L.) Schrad.
",CHENOPODIACEAE,Ti Fu (Chinese),  
1011,"
Kokoona zeylanica Thwaites
",CELASTRACEAE,Kokum (Ceylon),  
1012,"
Krameria triandra Ruiz & Pav.
",POLYGALACEAE,Ratanya (Malay),  
1013,"
Kydia calycina Roxb.
",MALVACEAE,"Pula, Choupultea",  
1014,"
Kyllinga brevifolia Rottb.
",CYPERACEAE,Nirbisi,  
1015,"
Kyllinga nemoralis (Forst.) Dandy ex Hutcins. & Dalziel
",CYPERACEAE,White water sedge (Eng.),  
1016,"
Lablab purpureus (L.) Sweet
",FABACEAE,"Bhatvas, Shimi",  
1017,"
Lactuca indica L.
",ASTERACEAE,Salad,  
1018,"
Lactuca remotiflora DC.
",ASTERACEAE,Undirachakan (Mar.),  
1019,"
Lactuca runcinata DC.
",ASTERACEAE,Undirachakan (Mar.),  
1020,"
Lactuca sativa L.
",ASTERACEAE,"Kahu, Salad",  
1021,"
Lactuca scariola L.
",ASTERACEAE,Kahu,  
1022,"
Lagenandra toxicaria Dalzell
",ARACEAE,Maravara tsjembu (Tam.),  
1023,"
Lagenaria siceraria (Molina) Standl.
",CUCURBITACEAE,"Kaddu, Lauki",  
1024,"
Lagerstroemia indica L.
",LYTHRACEAE,"Pharash, Telingachina",  
1025,"
Lagerstroemia speciosa (L.) Pers.
",LYTHRACEAE,Jarul,  
1026,"
Lallemantia royleana (Wall. ex Benth.) Benth.
",LAMIACEAE,"Gharei, Kashmalu",  
1027,"
Laminaria saccharina Lam.
",PHAEOPHYCEAE,Sea belt (Eng.),  
1028,"
Lamium album L.
",LAMIACEAE,White Deadnettle (Eng.),  
1029,"
Lamium amplexicaule L.
",LAMIACEAE,Henbit (Eng.),  
1030,"
Lamprachaenium microcephalum Benth.
",ASTERACEAE,Brahma-dandi (Bombay),  
1031,"
Lannea coromandelica (Houtt.) Merr.
",ASTERACEAE,"Jhingan, Kaimil",  
1032,"
Lasia spinosa (L.) Thwaites
",ARACEAE,Kanta kachu (Beng.),  
1033,"
Lathyrus aphaca L.
",FABACEAE,Janglimatar,  
1034,"
Lathyrus odoratus L.
",FABACEAE,Sweet Pea (Eng.),  
1035,"
Lathyrus pratensis L.
",FABACEAE,Meadow vetchling (Eng.),  
1036,"
Lathyrus sativus L.
",FABACEAE,"Khesari, Latri",  
1037,"
Lathyrus sphaericus Retz.
",FABACEAE,Red grass pea (Eng.),  
1038,"
Launaea asplenifolia (Willd.) Hook.f.
",ASTERACEAE,Titlia,  
1039,"
Launaea resedifolia (L.) Kuntze
",ASTERACEAE,Divided-leaved Sow Thistle (eng.),  
1040,"
Launaea sarmentosa (Willd.) Alston
",ASTERACEAE,Sagar pathari (Mar.),  
1041,"
Laurentia longiflora (L.) Endl.
",CAMPANULACEAE,Madam Fate (Eng.),  
1042,"
Lavandula bipinnata (Roth) Kuntze
",LAMIACEAE,"Sarpnocharo, Aasmanifalgoto (Guj.)",  
1043,"
Lavandula stoechas L.
",LAMIACEAE,Dharu,  
1044,"
Lavandula vera DC.
",LAMIACEAE,True Lavender (Eng.),  
1045,"
Lawsonia inermis L.
",LYTHRACEAE,Mehndi,  
1046,"
Leea aequata L.
",LEEACEAE,Kakajangha,  
1047,"
Leea crispa L.
",LEEACEAE,Banchalita (Beng.),  
1048,"
Leea indica (Burm.f.) Merr.
",LEEACEAE,Kukur-jihwa,  
1049,"
Leea macrophylla Roxb. ex Hornem.
",LEEACEAE,Dholsamudra,  
1050,"
Lens culinaris Medik.
",FABACEAE,"Masur, Masser",  
1051,"
Leonotis nepetaiefolia R.Br.
",LAMIACEAE,Hejurchei,  
1052,"
Leonurus cardiaca L.
",LAMIACEAE,Common Motherwort (Eng.),  
1053,"
Leonurus sibiricus L.
",LAMIACEAE,Halkusha,  
1054,"
Lepidagathis cristata Willd.
",ACANTHACEAE,Bhuiterada (Mar.),  
1055,"
Lepidagathis hamiltoniana Wall.
",ACANTHACEAE,Agnikhair (Mundari),  
1056,"
Lepidagathis incurva Buch.-Ham. ex D.Don
",ACANTHACEAE,Vangvattur (Mizoram),  
1057,"
Lepidagathis trinervis Nees
",ACANTHACEAE,Harancharo (Guj.),  
1058,"
Lepidium iberis L.
",BRASSICACEAE,Safed towdri,  
1059,"
Lepidium latifolium L.
",BRASSICACEAE,Gonyuch (Ladhak),  
1060,"
Lepidium sativum L.
",BRASSICACEAE,"Halim, Harf",  
1061,"
Leptadenia reticulata (Retz.) Wight & Arn.
",ASCLEPIADACEAE,Dodi,  
1062,"
Leucaena glauca (L.) Benth.
",MIMOSACEAE,Lasobaval (Guj.),  
1063,"
Leucas aspera (Willd.) Link
",LAMIACEAE,Safed Halkusa,  
1064,"
Leucas cephalotus (Roth.) Spreng.
",LAMIACEAE,"Dhurpi sag, Deldona",  
1065,"
Leucas lavandulifolia Sm.
",LAMIACEAE,"Guma, Halkusa",  
1066,"
Leucas stelligera Wall.
",LAMIACEAE,Barumbi (Mar.),  
1067,"
Leucas zeylanica R.Br.
",LAMIACEAE,Mudittumbei (Ceylon),  
1068,"
Licuala spinosa Wurmb.
",ARECACEAE,Jungli selai,  
1069,"
Lilium giganteum Wall.
",LILIACEAE,Jaunsar-Giotra,  
1070,"
Lilium martagon L.
",LILIACEAE,Turk's Cap Lily (Eng.),  
1071,"
Lilium tigrinum Ker Gawl.
",LILIACEAE,Tiger Lily (Eng.),  
1072,"
Lilium wallichianum Schult.f.
",LILIACEAE,Findora,  
1073,"
Limnophila aromatica (Lam.) Merr.
",SCROPHULARIACEAE,Kuttra,  
1074,"
Limnophila indica (L.) Druce
",SCROPHULARIACEAE,Kuttra,  
1075,"
Limnophila rugosa (Roth) Merr.
",SCROPHULARIACEAE,Kala karpur (Beng.),  
1076,"
Limonia acidissima L.
",RUTACEAE,"Kavat, Kadbel (Beng.)",  
1077,"
Lindera caudata Benth.
",LAURACEAE,Dieng-soh-orthai-dieng-brau-salu(Khasi Hills),  
1078,"
Lindera neesiana (Nees) Kurz
",LAURACEAE,Siltimur (Nepal),  
1079,"
Linderbergia indica (L.) Vatke
",SCROPHULARIACEAE,Haldi basanto (Beng.),  
1080,"
Lindernia anagallis (Burm.f.) Pennell
",SCROPHULARIACEAE,Gadagvel (Mar.),  
1081,"
Lindernia crustacea (L.) F.Muell.
",SCROPHULARIACEAE,Malaysian false pimpernel (Eng.),  
1082,"
Lindernia oppositifolia (Retz.) Mukerjee
",SCROPHULARIACEAE,Hendegel ba (Mundari),  
1083,"
Lindernia procumbens (Krock.) Philcox
",SCROPHULARIACEAE,Vakapushpi (Mar.),  
1084,"
Lindernia ruelloides (Colsm.) Mukherjee
",SCROPHULARIACEAE,Sam-tham-lang (Garo),  
1085,"
Linum usitatissimum L.
",LINACEAE,"Tisi, Alsi",  
1086,"
Liriodendron tulipifera L.
",MAGNOLIACEAE,Yellow popler (Eng.),  
1087,"
Litchi chinensis Sonn.
",SAPINDACEAE,Lichi,  
1088,"
Lithospermum arvensis L.
",BORAGINACEAE,Corn Gromwell,  
1089,"
Lithospermum officinale L.
",BORAGINACEAE,Gromwell,  
1090,"
Litsea cubeba (Lour.) Pers.
",LAURACEAE,Mejankeri (Assam),  
1091,"
Litsea lancifolia Hook.f.
",LAURACEAE,Kali Pahenle (Nepal),  
1092,"
Litsea monopetala (Roxb.) Pers.
",LAURACEAE,"Meda, Katmarra",  
1093,"
Litsea stocksii Hook.f.
",LAURACEAE,"Pisi, Posha (Mar.)",  
1094,"
Lobelia inflata L.
",LOBELIACEAE,Puke weed (Eng.),  
1095,"
Lobelia leschenaultiana (Presl.) Skottsh.
",LOBELIACEAE,Kadu hogesoppu (Kan.),  
1096,"
Lobelia nicotianifolia Roth ex Roem. & Schult.
",LOBELIACEAE,"Nala, Narasala",  
1097,"
Lobelia pyramidalis Wall.
",LOBELIACEAE,Berawchal (Lushai),  
1098,"
Lolium temulentum L.
",POACEAE,Mochni,  
1099,"
Lonicera japonica Thunb.
",CAPRIFOLIACEAE,Leihruisen (Lushai),  
1100,"
Lonicera periclymenum L.
",CAPRIFOLIACEAE,Woodbine Honeysuckle (Eng.),  
1101,"
Lonicera semenovii Regel.
",CAPRIFOLIACEAE,"Shea, Sheva",  
1102,"
Loxococcus rupicola Wendl. & Drude
",ARECACEAE,Dothalu (Tam.),  
1103,"
Ludwigia adscendens (L.) Hara
",ONAGRACEAE,Kesara-dam,  
1104,"
Ludwigia octovalvis (Jacq.) P.H.Raven
",ONAGRACEAE,Banlunga,  
1105,"
Ludwigia perennis L.
",ONAGRACEAE,"Sukuri pota, Gara sirgiti (Mundari)",  
1106,"
Ludwigia prostrata Roxb.
",ONAGRACEAE,Huring Rangaini (Mundari),  
1107,"
Luffa acutangula (L.) Roxb.
",CUCURBITACEAE,"Kali tori, Jhinga tori",  
1108,"
Luffa cylindrica(L.) M.Roem.
",CUCURBITACEAE,Ghiya tori,  
1109,"
Luffa echinata Roxb.
",CUCURBITACEAE,Bindal,  
1110,"
Luisia tenuifolia Blume
",CUCURBITACEAE,Amb-keli (Marathi),  
1111,"
Lumnitzera racemosa Willd.
",COMBRETACEAE,Kripa (Beng.),  
1112,"
Lupinus albus L.
",FABACEAE,Turmas,  
1113,"
Lupinus angustifolius L.
",FABACEAE,Blue Lupine (Eng.),  
1114,"
Lupinus luteus L.
",FABACEAE,Yellow Lupine (Eng.),  
1115,"
Luvunga scandens (Roxb.) Buch.-Ham. ex Wight
",RUTACEAE,Kakoli (Sans.),  
1116,"
Lychnis coronaria (L.) Desr.
",CARYOPHYLLACEAE,Rose Campion (Eng.),  
1117,"
Lycium barbarum L.
",SOLANACEAE,Gangro (Mar.),  
1118,"
Lycopodium cernuum L.
",LYCOPODIACEAE,Kangrem (Lushai),  
1119,"
Lycopodium clavatum L.
",LYCOPODIACEAE,Bendarli (Mar.),  
1120,"
Lycopus europaeus L.
",LAMIACEAE,"Jalnim, Gandamgundu (Kashmir & Punjab)",  
1121,"
Lygodium flexuosum (L.) Sw.
",LYGODIACEAE,Bhut-raj (Beng.),  
1122,"
Lygodium japonicum (Thunb.) Sw.
",LYGODIACEAE,Japanese climbing fern (Eng.),  
1123,"
Lygodium microphyllum (Cav.) R.Br.
",LYGODIACEAE,Curalvallipanna (Mal.),  
1124,"
Lyonia ovalifolia (Wall.) Drude
",LYGODIACEAE,Angeri (Nepali),  
1125,"
Macaranga denticulata (Blume) Muell.-Arg.
",PROTEACEAE,Burna (Beng.),  
1126,"
Macaranga indica Wight
",EUPHORBIACEAE,Uppila (Mal.),  
1127,"
Macaranga peltata (Roxb.) Muell.-Arg.
",EUPHORBIACEAE,Chanda (Mar.),  
1128,"
Madhuca butyracea (Roxb.) J.F.Macbr.
",MORACEAE,Phulvara,  
1129,"
Madhuca longifolia (Koen.) Macbride
",SAPOTACEAE,South Indian Mahua (Eng.),  
1130,"
Magnolia grandifolia L.
",CAPPARACEAE,"Andachampa, Him champa",  
1131,"
Mahonia borealis Takeda
",BERBERIDACEAE,Pualeng (Lushai),  
1132,"
Mahonia sikkimensis Takeda
",BERBERIDACEAE,Chatri (Nepal),  
1133,"
Majorana hortensis Moench.
",BERBERIDACEAE,Murwa,  
1134,"
Malachra capitata L.
",LAMIACEAE,Banbhindi (Beng.),  
1135,"
Mallotus philippensis (Lam.) Muell.Arg.
",EUPHORBIACEAE,"Kamala, Sindur",  
1136,"
Malpighia glabra L.
",MALPIGHIACEAE,Barbados Cherry (Eng.),  
1137,"
Malpighia punicifolia L.
",MALPIGHIACEAE,Vallari (Tel.),  
1138,"
Malus pumila Mill.
",MALPIGHIACEAE,"Seb, Sev",  
1139,"
Malus sylvestris Mill.
",ROSACEAE,"Gulkhair, Kunzi",  
1140,"
Malva parvifolia L.
",ROSACEAE,Panirak,  
1141,"
Malva rotundifolia L.
",MALVACEAE,Khubasi,  
1142,"
Malva sylvestris L.
",MALVACEAE,"Gulkhair, Kunzi",  
1143,"
Malva verticillata L.
",MALVACEAE,"Lapha, Napha (Beng.)",  
1144,"
Malvastrum coromandelianum (L.) Garcke
",MALVACEAE,"Kharenti, Chandiri (Mar.)",  
1145,"
Mandragora officinarum L.
",CLUSIACEAE,Luckmuna (Hindi),  
1146,"
Mangifera indica L.
",ANACARDIACEAE,"Am, Amb",  
1147,"
Manihot esculenta Crantz.
",EUPHORBIACEAE,Karrapendalamu (Tel.),  
1148,"
Manilkara hexandra (Roxb.) Dubard
",EUPHORBIACEAE,Khirni,  
1149,"
Manilkara kauki (L.) Dubard
",SAPOTACEAE,Khirni,  
1150,"
Marrubium vulgare L.
",MARANTACEAE,Paharigandana,  
1151,"
Marsdenia roylei Wight
",ASCLEPIADACEAE,Murkula,  
1152,"
Marsdenia tenacissima (Roxb.) Moon
",ASCLEPIADACEAE,"Jiti, Chiti",  
1153,"
Marsdenia tinctoria R.Br.
",ASCLEPIADACEAE,Riyong (North Bengal),  
1154,"
Marsilea minuta L.
",MARSILEACEAE,Susnishak (Beng.),  
1155,"
Matricaria chamomilla L.
",ASTERACEAE,Babunphul,  
1156,"
Matthiola incana (L.) R.Br.
",ASTERACEAE,Todri lila (Punjab.),  
1157,"
Maytenus emarginata (Willd.) Ding Hou
",BRASSICACEAE,Henkal (Mar.),  
1158,"
Measa chisia Ham. ex D.Don
",CELASTRACEAE,Susi-poma (Assamese),  
1159,"
Measa indica (Roxb.) DC.
",MYRSINACEAE,Kramighna Phal ,  
1160,"
Measa ramentacea Wall.
",MYRSINACEAE,Seketia (Assamese),  
1161,"
Medicago sativa L.
",FABACEAE,"Wilayti-gawuth, Lasunghas",  
1162,"
Melanorrhoea usiata Wall.
",ANACARDIACEAE,Kheu (Manipur),  
1163,"
Melastoma malabathricum L.
",MELASTOMATACEAE,Palore (Mar.),  
1164,"
Melia azedarach L.
",MELIACEAE,"Drek, Bakain",  
1165,"
Melilotus alba Medik. ex Desr.
",FABACEAE,Safed Senji,  
1166,"
Melilotus indica (L.) All.
",FABACEAE,Banmethi,  
1167,"
Melilotus officinalis (L.) Medik. ex Desr.
",FABACEAE,Yellow Sweetclover (Eng.),  
1168,"
Melissa axillaris (Benth.) Bakh.f.
",LAMIACEAE,Bililotan,  
1169,"
Melochia corchorifolia L.
",STERCULIACEAE,Bilpat,  
1170,"
Melodinus monogynus Roxb.
",APOCYNACEAE,Soh-brab (Khasi Hills),  
1171,"
Melothria amplexicaulis (Lam.) Cogn.
",CUCURBITACEAE,Tarali,  
1172,"
Melothria maderaspatana (L.) Cogn.
",CUCURBITACEAE,"Agumaki, Bilari",  
1173,"
Melothria scabra Naudin
",CUCURBITACEAE,Varali (Bombay),  
1174,"
Memecylon angustifolium Wight
",MELASTOMATACEAE,Vellaikkaya (Tam.),  
1175,"
Memecylon umbellatum Burm.f.
",MELASTOMATACEAE,Anjani (Mar.),  
1176,"
Mentha aquatica L.
",LAMIACEAE,Water Mint (Eng.),  
1177,"
Mentha arvensis L.
",LAMIACEAE,"Podina, Pudina",  
1178,"
Mentha longifolia (L.) Huds.
",LAMIACEAE,"Podina, Jungli pudina",  
1179,"
Mentha piperita L.
",LAMIACEAE,"Paparaminta, Gamathi",  
1180,"
Mentha pulegium L.
",LAMIACEAE,Pudding Grass (Eng.),  
1181,"
Mentha sativa L.
",LAMIACEAE,Peppermint (Eng.),  
1182,"
Mentha spicata L.
",LAMIACEAE,"Pahari pudina, Pudina",  
1183,"
Mentha verticillata D.Don
",LAMIACEAE,Whorled Mint (Eng.),  
1184,"
Menyanthes trifoliata L.
",MENYANTHACEAE,Bog bean (Eng.),  
1185,"
Meriandra bengalensis Benth.
",LAMIACEAE,Kafurkapat,  
1186,"
Meriandra strobilifera Benth.
",LAMIACEAE,Kafurkapat,  
1187,"
Merremia dissecta (Jacq.) Hallier f.
",CONVOLVULACEAE,Noyau vine (Eng.),  
1188,"
Merremia gangetica (L.) Cufod.
",CONVOLVULACEAE,Musakani,  
1189,"
Merremia tridentata (L.) Hallier f.
",CONVOLVULACEAE,Prasarini (Sans.),  
1190,"
Merremia turpethum (L.) Shah & Bhatt
",CONVOLVULACEAE,"Nishothra, Terpeth root (Eng.)",  
1191,"
Merremia umbellata (L.) Hallier f.
",CONVOLVULACEAE,Sapussundu (Beng.),  
1192,"
Merremia vitifolia (Burm.f.) Hallier f.
",CONVOLVULACEAE,Navalicha vel (Mar.),  
1193,"
Mesua ferrea L.
",CLUSIACEAE,"Nagkesar, Nagesar (Beng.)",  
1194,"
Meyna laxiflora Robyns
",RUBIACEAE,"Muyna, Muduna",  
1195,"
Michelia champaca L.
",MAGNOLIACEAE,"Champa, Champaca",  
1196,"
Michelia montana Blume
",MAGNOLIACEAE,Pan sopa (Assam),  
1197,"
Michelia nilagirica Zenk.
",MAGNOLIACEAE,Shembuga (Tam.),  
1198,"
Microcos paniculata L.
",TILIACEAE,Shiral,  
1199,"
Micromeria biflora (Buch.-Ham. ex D.Don) Benth.
",LAMIACEAE,Ote budu ba (Mundari),  
1200,"
Micromeria capitellata Benth.
",LAMIACEAE,Karvat (Bombay),  
1201,"
Microrhychus nudicaulis Less.
",ASTERACEAE,Paprastaka,  
1202,"
Microsorum scolopendria (Burm.f.) Copel
",POLYPODIACEAE,Paku Wangi (Malay),  
1203,"
Mikania cordata (Burm.f.) B.L.Rob.
",ASTERACEAE,Tara lata (Beng.),  
1204,"
Miliusa velutina (Dunal) Hook.f. & Thoms.
",ANNONACEAE,"Dom-sal, Kari",  
1205,"
Millettia extensa (Benth.) Baker
",FABACEAE,"Gauj, Gonj",  
1206,"
Millettia pachycarpa Benth.
",FABACEAE,Bishloti (Beng.),  
1207,"
Millettia piscidia Wight
",FABACEAE,Dieng-sohlynthein (Khasi Hills),  
1208,"
Millettia racemosa Benth.
",FABACEAE,Jungi,  
1209,"
Millingtonia hortensis L.f.
",BIGNONIACEAE,"Neem-chameli, Akas nim",  
1210,"
Mimosa pudica L.
",MIMOSACEAE,"Lajwanti, Chui-mui",  
1211,"
Mimosa rubicaulis Lam.
",MIMOSACEAE,Shiah-kanta,  
1212,"
Mimulus moschatus Douglas ex Lindl.
",SCROPHULARIACEAE,Musk Plant (Eng.),  
1213,"
Mimulus strictus Benth.
",SCROPHULARIACEAE,Erect Monkey Flower (Eng.),  
1214,"
Mimusops elengi L.
",SAPOTACEAE,"Maulsari, Bakul",  
1215,"
Mitragyna parvifolia (Roxb.) Korth.
",RUBIACEAE,"Kaim, Kalmi",  
1216,"
Mitragyna rotundifolia (Roxb.) Kuntze
",RUBIACEAE,Timi (Assam),  
1217,"
Mollugo cerviana (L.) Ser.
",MOLLUGINACEAE,Ghimasak (Beng.),  
1218,"
Mollugo nudicaulis Lam.
",MOLLUGINACEAE,Parppadagam (Madras),  
1219,"
Mollugo pentaphylla L.
",MOLLUGINACEAE,Khet-papara (Beng.),  
1220,"
Monotropa uniflora L.
",MONOTROPACEAE,Indian Pipe (Eng.),  
1221,"
Morinda citrifolia L.
",RUBIACEAE,"Surangi, Bartundi",  
1222,"
Morinda umbellata L.
",RUBIACEAE,Pitadaru (Sans.),  
1223,"
Moringa concanensis Nimmo
",MORINGACEAE,Jangli sargua,  
1224,"
Moringa oleifera Lam.
",MORINGACEAE,"Sahjana, Sahijana",  
1225,"
Mormordica balsamina L.
",CUCURBITACEAE,Mokha,  
1226,"
Mormordica charantia L.
",CUCURBITACEAE,"Karela, Kareli",  
1227,"
Mormordica cochinchinensis (Lour.) Spreng.
",CUCURBITACEAE,"Gulkakra, Gangerua",  
1228,"
Mormordica dioica Roxb. ex Willd.
",CUCURBITACEAE,"Kaksa, Golkandra",  
1229,"
Morus alba L.
",MORACEAE,"Tut, Chinni",  
1230,"
Morus australis Poir.
",MORACEAE,Kiskuri (Assamese),  
1231,"
Morus nigra L.
",MORACEAE,Shah-tut,  
1232,"
Moschosma polystachyum Benth.
",LAMIACEAE,Musk basil (Eng.),  
1233,"
Mucuna gigantea DC.
",FABACEAE,Enugadulagondi (Tel.),  
1234,"
Mucuna monosperma DC. ex Wight
",FABACEAE,Khatavangi (Sans.),  
1235,"
Mucuna nigricans (Lour.) Steud.
",FABACEAE,Kasi (Beng.),  
1236,"
Mucuna pruriens (L.) DC.
",FABACEAE,"Kevanch, Kaunch",  
1237,"
Murdannia scapiflora (Roxb.) Royle
",COMMELINACEAE,Musli-Siyah,  
1238,"
Murraya koenigii (L.) Spreng.
",RUTACEAE,"Kathneem, Mitha neem",  
1239,"
Murraya paniculata (L.) Jacq.
",RUTACEAE,"Kamini, Marchula",  
1240,"
Musa paradisiaca L.
",MUSACEAE,Kela,  
1241,"
Mussaenda glabra Vahl
",RUBIACEAE,Charai-atha (Assam),  
1242,"
Mussaenda glabrata (Hook.f.) Hutch. ex Gamble
",RUBIACEAE,"Bedina, Bebina",  
1243,"
Myrica esculenta Buch.-Ham.
",MYRICACEAE,"Kaiphal, Kaphala",  
1244,"
Myricaria bracteata Royle
",TAMARICACEAE,Shalakat (Punjab),  
1245,"
Myristica dactyloides Gaertn.
",MYRISTICACEAE,Jayaphal (Mar.),  
1246,"
Myristica fragrans Houtt.
",MYRISTICACEAE,"Jaiphal, Jayapatri",  
1247,"
Myristica malabarica Lam.
",MYRISTICACEAE,Patthiri (Tam.),  
1248,"
Myrsine africana L.
",MYRSINACEAE,Chapra,  
1249,"
Myrtus communis L.
",MYRTACEAE,"Vilayati mehndi, Murad",  
1250,"
Myxopyrum smilacifolium (Wall.) Blume
",OLEACEAE,Chathuravalli (Mal.),  
1251,"
Nannorhops ritchiena (Griff.) Wendl.
",ARECACEAE,Mazari Palm (Eng.),  
